Year,0,1,2,3,4,5,6,7,8+
1972,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1973,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1974,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1975,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1976,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1977,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1978,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1979,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1980,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1981,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1982,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1983,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1984,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1985,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1986,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1987,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1988,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1989,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1990,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1991,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1992,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1993,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1994,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1995,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1996,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1997,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1998,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
1999,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2001,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2002,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2003,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2004,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2005,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2006,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2007,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2008,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2009,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2010,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2011,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2012,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2013,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2014,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2015,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2016,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2017,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2018,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2019,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
2020,0.000,0.000,0.000,1.000,1.000,1.000,1.000,1.000,1.000
