Year      1      2      3      4      5      6
1983  1.357  0.715  0.212  0.200  0.200  0.200
1984  1.344  0.717  0.212  0.200  0.200  0.200
1985  1.325  0.718  0.213  0.200  0.200  0.200
1986  1.301  0.718  0.213  0.200  0.200  0.200
1987  1.274  0.718  0.214  0.200  0.200  0.200
1988  1.247  0.718  0.215  0.200  0.200  0.200
1989  1.220  0.720  0.215  0.200  0.200  0.200
1990  1.196  0.722  0.216  0.200  0.200  0.200
1991  1.174  0.723  0.216  0.200  0.200  0.200
1992  1.157  0.725  0.217  0.200  0.200  0.200
1993  1.144  0.727  0.217  0.200  0.200  0.200
1994  1.136  0.730  0.217  0.200  0.200  0.200
1995  1.129  0.734  0.218  0.200  0.200  0.200
1996  1.122  0.740  0.219  0.200  0.200  0.200
1997  1.115  0.748  0.220  0.200  0.200  0.200
1998  1.106  0.756  0.222  0.200  0.200  0.200
1999  1.097  0.767  0.224  0.200  0.200  0.200
2000  1.088  0.779  0.226  0.200  0.200  0.200
2001  1.084  0.795  0.229  0.200  0.200  0.200
2002  1.085  0.814  0.232  0.200  0.200  0.200
2003  1.091  0.835  0.235  0.200  0.200  0.200
2004  1.100  0.854  0.237  0.200  0.200  0.200
2005  1.112  0.871  0.238  0.200  0.200  0.200
2006  1.126  0.884  0.239  0.200  0.200  0.200
2007  1.141  0.893  0.238  0.200  0.200  0.200
2008  1.159  0.900  0.237  0.200  0.200  0.200
2009  1.180  0.907  0.236  0.200  0.200  0.200
2010  1.208  0.916  0.235  0.200  0.200  0.200
2011  1.242  0.929  0.234  0.200  0.200  0.200
2012  1.283  0.945  0.233  0.200  0.200  0.200
2013  1.326  0.962  0.233  0.200  0.200  0.200
2014  1.326  0.962  0.233  0.200  0.200  0.200
2015  1.326  0.962  0.233  0.200  0.200  0.200
