Year       1       2      3      4      5
1983   3.742  14.132  1.724  0.942  0.385
1984  11.153   5.497  2.343  0.449  0.438
1985   0.544  14.312  1.968  0.742  0.240
1986  11.082   2.284  3.338  0.883  0.449
1987   4.344  13.889  0.703  0.740  0.219
1988   2.537   3.377  3.512  0.184  0.359
1989   8.362   3.247  2.622  1.092  0.154
1990   1.770   7.058  1.148  0.427  0.487
1991   1.538   2.120  1.874  0.493  0.271
1992   8.176   2.844  0.725  0.491  0.164
1993   2.821   7.560  0.932  0.324  0.249
1994   6.187   2.042  1.528  0.465  0.237
1995   6.769   8.786  1.633  0.540  0.159
1996   1.640   4.145  2.102  0.326  0.234
1997  13.785   2.499  1.156  0.507  0.170
1998   1.579   9.421  0.905  0.449  0.224
1999   1.305   0.860  4.033  0.362  0.213
2000   3.482   2.043  0.419  0.959  0.195
2001   0.921   3.624  0.812  0.163  0.162
2002   2.475   1.411  1.497  0.248  0.053
2003   0.365   2.066  0.556  0.428  0.134
2004   2.487   1.139  1.155  0.216  0.184
2005   0.943   1.458  0.477  0.403  0.069
2006   3.493   0.857  0.748  0.155  0.089
2007   1.203   2.645  0.702  0.232  0.087
2008   1.911   1.052  1.194  0.299  0.208
2009   0.961   1.775  0.873  0.398  0.131
2010   2.509   1.584  1.191  0.330  0.209
2011   0.663   2.898  0.628  0.359  0.237
2012   1.343   1.543  1.963  0.442  0.250
2013   1.405   1.367  0.805  0.591  0.402
2014   2.358   1.723  0.791  0.302  0.371
2015   1.510   3.623  1.278  0.465  0.206
2016   0.879   1.107  2.016  0.666  0.369
